"","Disease","Date","State","Cases","Rates"
"1282","Hepatitis D",2019-05-31,"NT",1,0.4
"1283","Campylobacteriosis",2019-05-31,"NT",44,17.9
"1284","Cryptosporidiosis",2019-05-31,"NT",32,13
"1285","Hepatitis E",2019-05-31,"NT",1,0.4
"1286","Salmonellosis",2019-05-31,"NT",44,17.9
"1287","Shigellosis",2019-05-31,"NT",30,12.2
"1288","Legionellosis",2019-05-31,"NT",2,0.8
"1289","Meningococcal disease (invasive)",2019-05-31,"NT",2,0.8
"1290","Tuberculosis",2019-05-31,"NT",1,0.4
"1291","Chlamydial infection",2019-05-31,"NT",302,122.7
"1292","Gonococcal infection",2019-05-31,"NT",131,53.2
"1293","Syphilis < 2 years",2019-05-31,"NT",30,12.2
"1294","Syphilis > 2 years or unspecified duration",2019-05-31,"NT",7,2.8
"1295","Influenza (laboratory confirmed)",2019-05-31,"NT",233,94.7
"1296","Pertussis",2019-05-31,"NT",3,1.2
"1297","Pneumococcal disease (invasive)",2019-05-31,"NT",3,1.2
"1298","Rotavirus",2019-05-31,"NT",5,2
"1299","Varicella zoster (chickenpox)",2019-05-31,"NT",7,2.8
"1300","Varicella zoster (shingles)",2019-05-31,"NT",30,12.2
"1301","Varicella zoster (unspecified)",2019-05-31,"NT",2,0.8
"1302","Dengue virus infection",2019-05-31,"NT",6,2.4
"1303","Malaria",2019-05-31,"NT",1,0.4
"1304","Ross River virus infection",2019-05-31,"NT",18,7.3
"1305","Leptospirosis",2019-05-31,"NT",1,0.4
"1306","Hepatitis B (unspecified)",2019-04-30,"NT",9,3.7
"1307","Hepatitis C (unspecified)",2019-04-30,"NT",15,6.1
"1308","Campylobacteriosis",2019-04-30,"NT",34,13.8
"1309","Cryptosporidiosis",2019-04-30,"NT",13,5.3
"1310","Salmonellosis",2019-04-30,"NT",36,14.6
"1311","Shigellosis",2019-04-30,"NT",31,12.6
"1312","Tuberculosis",2019-04-30,"NT",3,1.2
"1313","Cholera",2019-04-30,"NT",1,0.4
"1314","Chlamydial infection",2019-04-30,"NT",273,110.9
"1315","Gonococcal infection",2019-04-30,"NT",116,47.1
"1316","Syphilis < 2 years",2019-04-30,"NT",22,8.9
"1317","Syphilis > 2 years or unspecified duration",2019-04-30,"NT",8,3.3
"1318","Haemophilus influenzae type b",2019-04-30,"NT",1,0.4
"1319","Influenza (laboratory confirmed)",2019-04-30,"NT",294,119.5
"1320","Pertussis",2019-04-30,"NT",4,1.6
"1321","Pneumococcal disease (invasive)",2019-04-30,"NT",6,2.4
"1322","Rotavirus",2019-04-30,"NT",3,1.2
"1323","Varicella zoster (chickenpox)",2019-04-30,"NT",5,2
"1324","Varicella zoster (shingles)",2019-04-30,"NT",44,17.9
"1325","Dengue virus infection",2019-04-30,"NT",6,2.4
"1326","Ross River virus infection",2019-04-30,"NT",17,6.9
"1327","Hepatitis B (unspecified)",2019-03-31,"NT",11,4.5
"1328","Hepatitis C (newly acquired)",2019-03-31,"NT",1,0.4
"1329","Hepatitis C (unspecified)",2019-03-31,"NT",9,3.7
"1330","Campylobacteriosis",2019-03-31,"NT",31,12.6
"1331","Cryptosporidiosis",2019-03-31,"NT",12,4.9
"1332","Hepatitis E",2019-03-31,"NT",1,0.4
"1333","Salmonellosis",2019-03-31,"NT",47,19.1
"1334","Shigellosis",2019-03-31,"NT",23,9.3
"1335","Meningococcal disease (invasive)",2019-03-31,"NT",1,0.4
"1336","Tuberculosis",2019-03-31,"NT",4,1.6
"1337","Chlamydial infection",2019-03-31,"NT",247,100.4
"1338","Gonococcal infection",2019-03-31,"NT",128,52
"1339","Syphilis < 2 years",2019-03-31,"NT",27,11
"1340","Syphilis > 2 years or unspecified duration",2019-03-31,"NT",6,2.4
"1341","Influenza (laboratory confirmed)",2019-03-31,"NT",103,41.9
"1342","Measles",2019-03-31,"NT",26,10.6
"1343","Pertussis",2019-03-31,"NT",5,2
"1344","Pneumococcal disease (invasive)",2019-03-31,"NT",4,1.6
"1345","Rotavirus",2019-03-31,"NT",4,1.6
"1346","Varicella zoster (chickenpox)",2019-03-31,"NT",7,2.8
"1347","Varicella zoster (shingles)",2019-03-31,"NT",36,14.6
"1348","Malaria",2019-03-31,"NT",1,0.4
"1349","Ross River virus infection",2019-03-31,"NT",17,6.9
"1350","Leptospirosis",2019-03-31,"NT",2,0.8
"1351","Hepatitis B (unspecified)",2019-02-28,"NT",8,3.3
"1352","Hepatitis C (unspecified)",2019-02-28,"NT",10,4.1
"1353","Campylobacteriosis",2019-02-28,"NT",35,14.2
"1354","Cryptosporidiosis",2019-02-28,"NT",15,6.1
"1355","Hepatitis A",2019-02-28,"NT",1,0.4
"1356","Salmonellosis",2019-02-28,"NT",33,13.4
"1357","Shigellosis",2019-02-28,"NT",25,10.2
"1358","Legionellosis",2019-02-28,"NT",1,0.4
"1359","Chlamydial infection",2019-02-28,"NT",247,100.4
"1360","Gonococcal infection",2019-02-28,"NT",129,52.4
"1361","Syphilis < 2 years",2019-02-28,"NT",22,8.9
"1362","Syphilis > 2 years or unspecified duration",2019-02-28,"NT",7,2.8
"1363","Haemophilus influenzae type b",2019-02-28,"NT",1,0.4
"1364","Influenza (laboratory confirmed)",2019-02-28,"NT",66,26.8
"1365","Measles",2019-02-28,"NT",3,1.2
"1366","Mumps",2019-02-28,"NT",1,0.4
"1367","Pertussis",2019-02-28,"NT",6,2.4
"1368","Pneumococcal disease (invasive)",2019-02-28,"NT",3,1.2
"1369","Rotavirus",2019-02-28,"NT",3,1.2
"1370","Varicella zoster (chickenpox)",2019-02-28,"NT",4,1.6
"1371","Varicella zoster (shingles)",2019-02-28,"NT",35,14.2
"1372","Barmah Forest virus infection",2019-02-28,"NT",1,0.4
"1373","Dengue virus infection",2019-02-28,"NT",3,1.2
"1374","Ross River virus infection",2019-02-28,"NT",20,8.1
"1375","Hepatitis B (unspecified)",2019-01-31,"NT",5,2
"1376","Hepatitis C (unspecified)",2019-01-31,"NT",6,2.4
"1377","Campylobacteriosis",2019-01-31,"NT",36,14.6
"1378","Cryptosporidiosis",2019-01-31,"NT",9,3.7
"1379","Hepatitis A",2019-01-31,"NT",1,0.4
"1380","Salmonellosis",2019-01-31,"NT",35,14.2
"1381","Shigellosis",2019-01-31,"NT",37,15
"1382","Legionellosis",2019-01-31,"NT",1,0.4
"1383","Meningococcal disease (invasive)",2019-01-31,"NT",1,0.4
"1384","Tuberculosis",2019-01-31,"NT",2,0.8
"1385","Chlamydial infection",2019-01-31,"NT",253,102.8
"1386","Gonococcal infection",2019-01-31,"NT",147,59.7
"1387","Syphilis < 2 years",2019-01-31,"NT",32,13
"1388","Syphilis > 2 years or unspecified duration",2019-01-31,"NT",5,2
"1389","Influenza (laboratory confirmed)",2019-01-31,"NT",126,51.2
"1390","Pertussis",2019-01-31,"NT",4,1.6
"1391","Pneumococcal disease (invasive)",2019-01-31,"NT",3,1.2
"1392","Rotavirus",2019-01-31,"NT",3,1.2
"1393","Varicella zoster (chickenpox)",2019-01-31,"NT",6,2.4
"1394","Varicella zoster (shingles)",2019-01-31,"NT",29,11.8
"1395","Dengue virus infection",2019-01-31,"NT",6,2.4
"1396","Malaria",2019-01-31,"NT",1,0.4
"1397","Ross River virus infection",2019-01-31,"NT",16,6.5
"1398","Q fever",2019-01-31,"NT",1,0.4
"1399","Hepatitis B (unspecified)",2018-12-31,"NT",4,1.6
"1400","Hepatitis C (unspecified)",2018-12-31,"NT",14,5.7
"1401","Campylobacteriosis",2018-12-31,"NT",30,12.1
"1402","Cryptosporidiosis",2018-12-31,"NT",9,3.6
"1403","Salmonellosis",2018-12-31,"NT",33,13.4
"1404","Shigellosis",2018-12-31,"NT",20,8.1
"1405","Meningococcal disease (invasive)",2018-12-31,"NT",2,0.8
"1406","Tuberculosis",2018-12-31,"NT",2,0.8
"1407","Chlamydial infection",2018-12-31,"NT",147,59.5
"1408","Gonococcal infection",2018-12-31,"NT",125,50.6
"1409","Syphilis < 2 years",2018-12-31,"NT",24,9.7
"1410","Syphilis > 2 years or unspecified duration",2018-12-31,"NT",5,2
"1411","Haemophilus influenzae type b",2018-12-31,"NT",1,0.4
"1412","Influenza (laboratory confirmed)",2018-12-31,"NT",675,273.2
"1413","Pertussis",2018-12-31,"NT",3,1.2
"1414","Pneumococcal disease (invasive)",2018-12-31,"NT",4,1.6
"1415","Rotavirus",2018-12-31,"NT",6,2.4
"1416","Varicella zoster (chickenpox)",2018-12-31,"NT",1,0.4
"1417","Varicella zoster (shingles)",2018-12-31,"NT",27,10.9
"1418","Varicella zoster (unspecified)",2018-12-31,"NT",1,0.4
"1419","Dengue virus infection",2018-12-31,"NT",5,2
"1420","Malaria",2018-12-31,"NT",1,0.4
"1421","Ross River virus infection",2018-12-31,"NT",4,1.6
"1422","Hepatitis B (newly acquired)",2018-11-30,"NT",1,0.4
"1423","Hepatitis B (unspecified)",2018-11-30,"NT",7,2.8
"1424","Hepatitis C (unspecified)",2018-11-30,"NT",11,4.5
"1425","Campylobacteriosis",2018-11-30,"NT",29,11.7
"1426","Cryptosporidiosis",2018-11-30,"NT",4,1.6
"1427","Salmonellosis",2018-11-30,"NT",38,15.4
"1428","Shigellosis",2018-11-30,"NT",33,13.4
"1429","Tuberculosis",2018-11-30,"NT",1,0.4
"1430","Chlamydial infection",2018-11-30,"NT",227,91.9
"1431","Gonococcal infection",2018-11-30,"NT",167,67.6
"1432","Syphilis < 2 years",2018-11-30,"NT",43,17.4
"1433","Syphilis > 2 years or unspecified duration",2018-11-30,"NT",4,1.6
"1434","Influenza (laboratory confirmed)",2018-11-30,"NT",305,123.5
"1435","Mumps",2018-11-30,"NT",1,0.4
"1436","Pertussis",2018-11-30,"NT",3,1.2
"1437","Pneumococcal disease (invasive)",2018-11-30,"NT",4,1.6
"1438","Rotavirus",2018-11-30,"NT",4,1.6
"1439","Varicella zoster (chickenpox)",2018-11-30,"NT",9,3.6
"1440","Varicella zoster (shingles)",2018-11-30,"NT",28,11.3
"1441","Dengue virus infection",2018-11-30,"NT",2,0.8
"1442","Malaria",2018-11-30,"NT",1,0.4
"1443","Ross River virus infection",2018-11-30,"NT",3,1.2
"1444","Hepatitis B (unspecified)",2020-10-31,"Qld",70,1.4
"1445","Hepatitis C (newly acquired)",2020-10-31,"Qld",41,0.8
"1446","Hepatitis C (unspecified)",2020-10-31,"Qld",137,2.7
"1447","Campylobacteriosis",2020-10-31,"Qld",639,12.5
"1448","Cryptosporidiosis",2020-10-31,"Qld",18,0.4
"1449","Salmonellosis",2020-10-31,"Qld",169,3.3
"1450","Shigellosis",2020-10-31,"Qld",16,0.3
"1451","Tuberculosis",2020-10-31,"Qld",21,0.4
"1452","Chlamydial infection",2020-10-31,"Qld",1919,37.7
"1453","Gonococcal infection",2020-10-31,"Qld",487,9.6
"1454","Syphilis < 2 years",2020-10-31,"Qld",69,1.4
"1455","Syphilis > 2 years or unspecified duration",2020-10-31,"Qld",22,0.4
"1456","Influenza (laboratory confirmed)",2020-10-31,"Qld",10,0.2
"1457","Pneumococcal disease (invasive)",2020-10-31,"Qld",16,0.3
"1458","Rotavirus",2020-10-31,"Qld",17,0.3
"1459","Varicella zoster (unspecified)",2020-10-31,"Qld",935,18.4
"1460","Barmah Forest virus infection",2020-10-31,"Qld",30,0.6
"1461","Ross River virus infection",2020-10-31,"Qld",64,1.3
"1462","Q fever",2020-10-31,"Qld",16,0.3
"1463","Hepatitis B (unspecified)",2020-09-30,"Qld",81,1.6
"1464","Hepatitis C (newly acquired)",2020-09-30,"Qld",44,0.9
"1465","Hepatitis C (unspecified)",2020-09-30,"Qld",157,3.1
"1466","Campylobacteriosis",2020-09-30,"Qld",594,11.7
"1467","Cryptosporidiosis",2020-09-30,"Qld",18,0.4
"1468","Salmonellosis",2020-09-30,"Qld",149,2.9
"1469","Tuberculosis",2020-09-30,"Qld",12,0.2
"1470","Chlamydial infection",2020-09-30,"Qld",1933,38
"1471","Gonococcal infection",2020-09-30,"Qld",525,10.3
"1472","Syphilis < 2 years",2020-09-30,"Qld",73,1.4
"1473","Syphilis > 2 years or unspecified duration",2020-09-30,"Qld",19,0.4
"1474","Influenza (laboratory confirmed)",2020-09-30,"Qld",31,0.6
"1475","Pneumococcal disease (invasive)",2020-09-30,"Qld",23,0.5
"1476","Rotavirus",2020-09-30,"Qld",11,0.2
"1477","Varicella zoster (chickenpox)",2020-09-30,"Qld",78,1.5
"1478","Varicella zoster (shingles)",2020-09-30,"Qld",474,9.3
"1479","Varicella zoster (unspecified)",2020-09-30,"Qld",333,6.5
"1480","Barmah Forest virus infection",2020-09-30,"Qld",23,0.5
"1481","Ross River virus infection",2020-09-30,"Qld",66,1.3
"1482","Leptospirosis",2020-09-30,"Qld",8,0.2
"1483","Q fever",2020-09-30,"Qld",11,0.2
"1484","Hepatitis B (unspecified)",2020-08-31,"Qld",73,1.4
"1485","Hepatitis C (newly acquired)",2020-08-31,"Qld",36,0.7
"1486","Hepatitis C (unspecified)",2020-08-31,"Qld",127,2.5
"1487","Campylobacteriosis",2020-08-31,"Qld",585,11.5
"1488","Cryptosporidiosis",2020-08-31,"Qld",13,0.3
"1489","Salmonellosis",2020-08-31,"Qld",128,2.5
"1490","Shigellosis",2020-08-31,"Qld",11,0.2
"1491","Tuberculosis",2020-08-31,"Qld",14,0.3
"1492","Chlamydial infection",2020-08-31,"Qld",1793,35.2
"1493","Gonococcal infection",2020-08-31,"Qld",457,9
"1494","Syphilis < 2 years",2020-08-31,"Qld",82,1.6
"1495","Syphilis > 2 years or unspecified duration",2020-08-31,"Qld",20,0.4
"1496","Influenza (laboratory confirmed)",2020-08-31,"Qld",51,1
"1497","Pertussis",2020-08-31,"Qld",9,0.2
"1498","Pneumococcal disease (invasive)",2020-08-31,"Qld",26,0.5
"1499","Rotavirus",2020-08-31,"Qld",19,0.4
"1500","Varicella zoster (chickenpox)",2020-08-31,"Qld",71,1.4
"1501","Varicella zoster (shingles)",2020-08-31,"Qld",538,10.6
"1502","Varicella zoster (unspecified)",2020-08-31,"Qld",223,4.4
"1503","Barmah Forest virus infection",2020-08-31,"Qld",30,0.6
"1504","Ross River virus infection",2020-08-31,"Qld",74,1.5
"1505","Q fever",2020-08-31,"Qld",11,0.2
"1506","Hepatitis B (unspecified)",2020-07-31,"Qld",73,1.4
"1507","Hepatitis C (newly acquired)",2020-07-31,"Qld",36,0.7
"1508","Hepatitis C (unspecified)",2020-07-31,"Qld",137,2.7
"1509","Campylobacteriosis",2020-07-31,"Qld",512,10.1
"1510","Cryptosporidiosis",2020-07-31,"Qld",15,0.3
"1511","Salmonellosis",2020-07-31,"Qld",151,3
"1512","Shigellosis",2020-07-31,"Qld",18,0.4
"1513","Tuberculosis",2020-07-31,"Qld",21,0.4
"1514","Chlamydial infection",2020-07-31,"Qld",1990,39.1
"1515","Gonococcal infection",2020-07-31,"Qld",590,11.6
"1516","Syphilis < 2 years",2020-07-31,"Qld",76,1.5
"1517","Syphilis > 2 years or unspecified duration",2020-07-31,"Qld",22,0.4
"1518","Influenza (laboratory confirmed)",2020-07-31,"Qld",55,1.1
"1519","Pneumococcal disease (invasive)",2020-07-31,"Qld",25,0.5
"1520","Rotavirus",2020-07-31,"Qld",20,0.4
"1521","Varicella zoster (chickenpox)",2020-07-31,"Qld",72,1.4
"1522","Varicella zoster (shingles)",2020-07-31,"Qld",598,11.7
"1523","Varicella zoster (unspecified)",2020-07-31,"Qld",232,4.6
"1524","Barmah Forest virus infection",2020-07-31,"Qld",32,0.6
"1525","Ross River virus infection",2020-07-31,"Qld",118,2.3
"1526","Leptospirosis",2020-07-31,"Qld",8,0.2
"1527","Q fever",2020-07-31,"Qld",21,0.4
"1528","Hepatitis B (unspecified)",2020-06-30,"Qld",69,1.4
"1529","Hepatitis C (newly acquired)",2020-06-30,"Qld",49,1
"1530","Hepatitis C (unspecified)",2020-06-30,"Qld",135,2.7
"1531","Campylobacteriosis",2020-06-30,"Qld",526,10.3
"1532","Cryptosporidiosis",2020-06-30,"Qld",15,0.3
"1533","Salmonellosis",2020-06-30,"Qld",192,3.8
"1534","Shigellosis",2020-06-30,"Qld",9,0.2
"1535","Tuberculosis",2020-06-30,"Qld",14,0.3
"1536","Chlamydial infection",2020-06-30,"Qld",1905,37.4
"1537","Gonococcal infection",2020-06-30,"Qld",605,11.9
"1538","Syphilis < 2 years",2020-06-30,"Qld",89,1.7
"1539","Syphilis > 2 years or unspecified duration",2020-06-30,"Qld",12,0.2
"1540","Influenza (laboratory confirmed)",2020-06-30,"Qld",50,1
"1541","Pertussis",2020-06-30,"Qld",19,0.4
"1542","Pneumococcal disease (invasive)",2020-06-30,"Qld",18,0.4
"1543","Rotavirus",2020-06-30,"Qld",16,0.3
"1544","Varicella zoster (chickenpox)",2020-06-30,"Qld",64,1.3
"1545","Varicella zoster (shingles)",2020-06-30,"Qld",529,10.4
"1546","Varicella zoster (unspecified)",2020-06-30,"Qld",177,3.5
"1547","Barmah Forest virus infection",2020-06-30,"Qld",46,0.9
"1548","Ross River virus infection",2020-06-30,"Qld",324,6.4
"1549","Q fever",2020-06-30,"Qld",11,0.2
"1550","Hepatitis B (unspecified)",2020-05-31,"Qld",65,1.3
"1551","Hepatitis C (newly acquired)",2020-05-31,"Qld",43,0.8
"1552","Hepatitis C (unspecified)",2020-05-31,"Qld",164,3.2
"1553","Campylobacteriosis",2020-05-31,"Qld",514,10.1
"1554","Cryptosporidiosis",2020-05-31,"Qld",32,0.6
"1555","Salmonellosis",2020-05-31,"Qld",252,4.9
"1556","Shigellosis",2020-05-31,"Qld",11,0.2
"1557","Tuberculosis",2020-05-31,"Qld",16,0.3
"1558","Chlamydial infection",2020-05-31,"Qld",1802,35.4
"1559","Gonococcal infection",2020-05-31,"Qld",545,10.7
"1560","Syphilis < 2 years",2020-05-31,"Qld",90,1.8
"1561","Syphilis > 2 years or unspecified duration",2020-05-31,"Qld",20,0.4
"1562","Influenza (laboratory confirmed)",2020-05-31,"Qld",59,1.2
"1563","Pertussis",2020-05-31,"Qld",25,0.5
"1564","Rotavirus",2020-05-31,"Qld",13,0.3
"1565","Varicella zoster (chickenpox)",2020-05-31,"Qld",55,1.1
"1566","Varicella zoster (shingles)",2020-05-31,"Qld",591,11.6
"1567","Varicella zoster (unspecified)",2020-05-31,"Qld",151,3
"1568","Barmah Forest virus infection",2020-05-31,"Qld",59,1.2
"1569","Ross River virus infection",2020-05-31,"Qld",955,18.8
"1570","Q fever",2020-05-31,"Qld",26,0.5
"1571","Hepatitis B (newly acquired)",2020-04-30,"Qld",9,0.2
"1572","Hepatitis B (unspecified)",2020-04-30,"Qld",48,0.9
"1573","Hepatitis C (newly acquired)",2020-04-30,"Qld",44,0.9
"1574","Hepatitis C (unspecified)",2020-04-30,"Qld",112,2.2
"1575","Campylobacteriosis",2020-04-30,"Qld",394,7.7
"1576","Cryptosporidiosis",2020-04-30,"Qld",49,1
"1577","Salmonellosis",2020-04-30,"Qld",264,5.2
"1578","Tuberculosis",2020-04-30,"Qld",11,0.2
"1579","Chlamydial infection",2020-04-30,"Qld",1534,30.1
"1580","Gonococcal infection",2020-04-30,"Qld",405,8
"1581","Syphilis < 2 years",2020-04-30,"Qld",76,1.5
"1582","Syphilis > 2 years or unspecified duration",2020-04-30,"Qld",21,0.4
"1583","Influenza (laboratory confirmed)",2020-04-30,"Qld",90,1.8
"1584","Pertussis",2020-04-30,"Qld",39,0.8
"1585","Pneumococcal disease (invasive)",2020-04-30,"Qld",12,0.2
"1586","Varicella zoster (chickenpox)",2020-04-30,"Qld",41,0.8
"1587","Varicella zoster (shingles)",2020-04-30,"Qld",462,9.1
"1588","Varicella zoster (unspecified)",2020-04-30,"Qld",177,3.5
"1589","Barmah Forest virus infection",2020-04-30,"Qld",56,1.1
"1590","Malaria",2020-04-30,"Qld",9,0.2
"1591","Ross River virus infection",2020-04-30,"Qld",1173,23
"1592","Leptospirosis",2020-04-30,"Qld",10,0.2
"1593","Q fever",2020-04-30,"Qld",32,0.6
"1594","Hepatitis B (unspecified)",2020-03-31,"Qld",70,1.4
"1595","Hepatitis C (newly acquired)",2020-03-31,"Qld",39,0.8
"1596","Hepatitis C (unspecified)",2020-03-31,"Qld",150,2.9
"1597","Campylobacteriosis",2020-03-31,"Qld",739,14.5
"1598","Cryptosporidiosis",2020-03-31,"Qld",227,4.5
"1599","Salmonellosis",2020-03-31,"Qld",487,9.6
"1600","Shigellosis",2020-03-31,"Qld",40,0.8
"1601","Legionellosis",2020-03-31,"Qld",9,0.2
"1602","Tuberculosis",2020-03-31,"Qld",20,0.4
"1603","Chlamydial infection",2020-03-31,"Qld",1922,37.7
"1604","Gonococcal infection",2020-03-31,"Qld",607,11.9
"1605","Syphilis < 2 years",2020-03-31,"Qld",90,1.8
"1606","Syphilis > 2 years or unspecified duration",2020-03-31,"Qld",22,0.4
"1607","Influenza (laboratory confirmed)",2020-03-31,"Qld",2152,42.3
"1608","Pertussis",2020-03-31,"Qld",99,1.9
"1609","Pneumococcal disease (invasive)",2020-03-31,"Qld",18,0.4
"1610","Rotavirus",2020-03-31,"Qld",35,0.7
"1611","Varicella zoster (chickenpox)",2020-03-31,"Qld",96,1.9
"1612","Varicella zoster (shingles)",2020-03-31,"Qld",574,11.3
"1613","Varicella zoster (unspecified)",2020-03-31,"Qld",215,4.2
"1614","Barmah Forest virus infection",2020-03-31,"Qld",48,0.9
"1615","Dengue virus infection",2020-03-31,"Qld",14,0.3
"1616","Ross River virus infection",2020-03-31,"Qld",368,7.2
"1617","Q fever",2020-03-31,"Qld",16,0.3
"1618","Hepatitis B (unspecified)",2020-02-29,"Qld",81,1.6
"1619","Hepatitis C (newly acquired)",2020-02-29,"Qld",48,0.9
"1620","Hepatitis C (unspecified)",2020-02-29,"Qld",139,2.7
"1621","Campylobacteriosis",2020-02-29,"Qld",852,16.7
"1622","Cryptosporidiosis",2020-02-29,"Qld",145,2.8
"1623","Salmonellosis",2020-02-29,"Qld",1090,21.4
"1624","Shigellosis",2020-02-29,"Qld",69,1.4
"1625","Legionellosis",2020-02-29,"Qld",8,0.2
"1626","Tuberculosis",2020-02-29,"Qld",13,0.3
"1627","Chlamydial infection",2020-02-29,"Qld",2078,40.8
"1628","Gonococcal infection",2020-02-29,"Qld",627,12.3
"1629","Syphilis < 2 years",2020-02-29,"Qld",86,1.7
"1630","Syphilis > 2 years or unspecified duration",2020-02-29,"Qld",27,0.5
"1631","Influenza (laboratory confirmed)",2020-02-29,"Qld",1971,38.7
"1632","Mumps",2020-02-29,"Qld",8,0.2
"1633","Pertussis",2020-02-29,"Qld",111,2.2
"1634","Pneumococcal disease (invasive)",2020-02-29,"Qld",13,0.3
"1635","Rotavirus",2020-02-29,"Qld",52,1
"1636","Varicella zoster (chickenpox)",2020-02-29,"Qld",85,1.7
"1637","Varicella zoster (shingles)",2020-02-29,"Qld",664,13
"1638","Varicella zoster (unspecified)",2020-02-29,"Qld",109,2.1
"1639","Barmah Forest virus infection",2020-02-29,"Qld",26,0.5
"1640","Dengue virus infection",2020-02-29,"Qld",11,0.2
"1641","Malaria",2020-02-29,"Qld",9,0.2
"1642","Ross River virus infection",2020-02-29,"Qld",64,1.3
"1643","Leptospirosis",2020-02-29,"Qld",10,0.2
"1644","Q fever",2020-02-29,"Qld",23,0.5
"1645","Hepatitis B (unspecified)",2020-01-31,"Qld",59,1.2
"1646","Hepatitis C (newly acquired)",2020-01-31,"Qld",48,0.9
"1647","Hepatitis C (unspecified)",2020-01-31,"Qld",142,2.8
"1648","Campylobacteriosis",2020-01-31,"Qld",978,19.2
"1649","Cryptosporidiosis",2020-01-31,"Qld",102,2
"1650","Salmonellosis",2020-01-31,"Qld",606,11.9
"1651","Shigellosis",2020-01-31,"Qld",62,1.2
"1652","Tuberculosis",2020-01-31,"Qld",9,0.2
"1653","Chlamydial infection",2020-01-31,"Qld",2113,41.5
"1654","Gonococcal infection",2020-01-31,"Qld",646,12.7
"1655","Syphilis < 2 years",2020-01-31,"Qld",96,1.9
"1656","Syphilis > 2 years or unspecified duration",2020-01-31,"Qld",16,0.3
"1657","Influenza (laboratory confirmed)",2020-01-31,"Qld",1541,30.3
"1658","Pertussis",2020-01-31,"Qld",169,3.3
"1659","Pneumococcal disease (invasive)",2020-01-31,"Qld",26,0.5
"1660","Rotavirus",2020-01-31,"Qld",73,1.4
"1661","Varicella zoster (chickenpox)",2020-01-31,"Qld",100,2
"1662","Varicella zoster (shingles)",2020-01-31,"Qld",664,13
"1663","Varicella zoster (unspecified)",2020-01-31,"Qld",52,1
"1664","Barmah Forest virus infection",2020-01-31,"Qld",21,0.4
"1665","Dengue virus infection",2020-01-31,"Qld",13,0.3
"1666","Malaria",2020-01-31,"Qld",13,0.3
"1667","Ross River virus infection",2020-01-31,"Qld",63,1.2
"1668","Leptospirosis",2020-01-31,"Qld",9,0.2
"1669","Q fever",2020-01-31,"Qld",21,0.4
"1670","Hepatitis B (unspecified)",2019-12-31,"Qld",72,1.4
"1671","Hepatitis C (newly acquired)",2019-12-31,"Qld",53,1
"1672","Hepatitis C (unspecified)",2019-12-31,"Qld",167,3.3
"1673","Campylobacteriosis",2019-12-31,"Qld",803,15.8
"1674","Cryptosporidiosis",2019-12-31,"Qld",55,1.1
"1675","Salmonellosis",2019-12-31,"Qld",456,9
"1676","Shigellosis",2019-12-31,"Qld",47,0.9
"1677","Tuberculosis",2019-12-31,"Qld",11,0.2
"1678","Chlamydial infection",2019-12-31,"Qld",1598,31.4
"1679","Gonococcal infection",2019-12-31,"Qld",494,9.7
"1680","Syphilis < 2 years",2019-12-31,"Qld",99,1.9
"1681","Syphilis > 2 years or unspecified duration",2019-12-31,"Qld",28,0.5
"1682","Influenza (laboratory confirmed)",2019-12-31,"Qld",648,12.7
"1683","Pertussis",2019-12-31,"Qld",179,3.5
"1684","Pneumococcal disease (invasive)",2019-12-31,"Qld",30,0.6
"1685","Rotavirus",2019-12-31,"Qld",169,3.3
"1686","Varicella zoster (chickenpox)",2019-12-31,"Qld",89,1.7
"1687","Varicella zoster (shingles)",2019-12-31,"Qld",624,12.3
"1688","Varicella zoster (unspecified)",2019-12-31,"Qld",77,1.5
"1689","Barmah Forest virus infection",2019-12-31,"Qld",9,0.2
"1690","Ross River virus infection",2019-12-31,"Qld",57,1.1
"1691","Q fever",2019-12-31,"Qld",21,0.4
"1692","Hepatitis B (unspecified)",2019-11-30,"Qld",77,1.5
"1693","Hepatitis C (newly acquired)",2019-11-30,"Qld",62,1.2
"1694","Hepatitis C (unspecified)",2019-11-30,"Qld",140,2.7
"1695","Campylobacteriosis",2019-11-30,"Qld",910,17.9
"1696","Cryptosporidiosis",2019-11-30,"Qld",76,1.5
"1697","Salmonellosis",2019-11-30,"Qld",354,7
"1698","Shigellosis",2019-11-30,"Qld",39,0.8
"1699","Tuberculosis",2019-11-30,"Qld",12,0.2
"1700","Chlamydial infection",2019-11-30,"Qld",2016,39.6
"1701","Gonococcal infection",2019-11-30,"Qld",570,11.2
"1702","Syphilis < 2 years",2019-11-30,"Qld",112,2.2
"1703","Syphilis > 2 years or unspecified duration",2019-11-30,"Qld",26,0.5
"1704","Influenza (laboratory confirmed)",2019-11-30,"Qld",660,13
"1705","Measles",2019-11-30,"Qld",11,0.2
"1706","Pertussis",2019-11-30,"Qld",194,3.8
"1707","Pneumococcal disease (invasive)",2019-11-30,"Qld",22,0.4
"1708","Rotavirus",2019-11-30,"Qld",320,6.3
"1709","Varicella zoster (chickenpox)",2019-11-30,"Qld",168,3.3
"1710","Varicella zoster (shingles)",2019-11-30,"Qld",659,12.9
"1711","Varicella zoster (unspecified)",2019-11-30,"Qld",43,0.8
"1712","Barmah Forest virus infection",2019-11-30,"Qld",12,0.2
"1713","Dengue virus infection",2019-11-30,"Qld",15,0.3
