,Month,ACT_n,NSW_n,NT_n,Qld_n,SA_n,Tas_n,Vic_n,WA_n,Aust_n,ACT_rate,NSW_rate,NT_rate,Qld_rate,SA_rate,Tas_rate,Vic_rate,WA_rate,Aust_rate,,,,,,,,,,
Hepatitis (NEC),Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Jul-20,0,0,0,6,0,0,0,3,9,0,0,0,0.1,0,0,0,0.1,0,,,,,,,,,,
Hepatitis B (unspecified),Jul-20,5,190,4,73,30,6,103,62,473,1.2,2.3,1.6,1.4,1.7,1.1,1.6,2.4,1.9,,,,,,,,,,
Hepatitis C (newly acquired),Jul-20,0,0,0,36,1,0,3,6,46,0,0,0,0.7,0.1,0,0,0.2,0.2,,,,,,,,,,
Hepatitis C (unspecified),Jul-20,10,285,6,137,17,14,112,73,654,2.3,3.5,2.4,2.7,1,2.6,1.7,2.8,2.6,,,,,,,,,,
Hepatitis D,Jul-20,0,3,0,3,1,0,0,2,9,0,0,0,0.1,0.1,0,0,0.1,0,,,,,,,,,,
Botulism,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Jul-20,48,722,27,512,225,76,434,207,2251,11.3,8.9,11,10.1,12.8,14.2,6.6,7.9,13,,,,,,,,,,
Cryptosporidiosis,Jul-20,1,18,0,15,10,2,20,4,70,0.2,0.2,0,0.3,0.6,0.4,0.3,0.2,0.3,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Jul-20,0,1,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Jul-20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis E,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Jul-20,0,1,0,0,0,0,1,2,4,0,0,0,0,0,0,0,0.1,0,,,,,,,,,,
Paratyphoid,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,Jul-20,0,8,0,1,8,0,4,6,27,0,0.1,0,0,0.5,0,0.1,0.2,0.1,,,,,,,,,,
Salmonellosis,Jul-20,3,113,28,151,32,7,63,122,519,0.7,1.4,11.4,3,1.8,1.3,1,4.7,2,,,,,,,,,,
Shigellosis,Jul-20,0,23,20,18,6,0,4,13,84,0,0.3,8.1,0.4,0.3,0,0.1,0.5,0.3,,,,,,,,,,
Typhoid Fever,Jul-20,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Legionellosis,Jul-20,0,11,0,2,1,1,4,4,23,0,0.1,0,0,0.1,0.2,0.1,0.2,0.1,,,,,,,,,,
Leprosy,Jul-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Jul-20,0,2,0,1,0,0,4,1,8,0,0,0,0,0,0,0.1,0,0,,,,,,,,,,
Tuberculosis,Jul-20,4,44,3,21,7,2,44,11,136,0.9,0.5,1.2,0.4,0.4,0.4,0.7,0.4,0.5,,,,,,,,,,
COVID-19,Jul-20,5,390,3,16,11,1,9727,42,10195,1.2,4.8,1.2,0.3,0.6,0.2,147.5,1.6,40.2,,,,,,,,,,
Cholera,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Jul-20,135,2185,185,1990,498,109,246,925,6273,31.7,27,75.2,39.1,28.4,20.4,3.7,35.3,24.7,,,,,,,,,,
Donovanosis,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Jul-20,22,780,105,590,126,12,436,281,2352,5.2,9.6,42.7,11.6,7.2,2.2,6.6,10.7,9.3,,,,,,,,,,
Syphilis < 2 years,Jul-20,5,121,15,76,9,0,107,62,395,1.2,1.5,6.1,1.5,0.5,0,1.6,2.4,1.6,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Jul-20,0,46,6,22,12,2,66,13,167,0,0.6,2.4,0.4,0.7,0.4,1,0.5,0.7,,,,,,,,,,
Syphilis congenital,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,Jul-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Jul-20,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Jul-20,1,43,0,55,17,2,63,9,190,0.2,0.5,0,1.1,1,0.4,1,0.3,0.7,,,,,,,,,,
Measles,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,Jul-20,0,0,0,2,1,0,1,0,4,0,0,0,0,0.1,0,0,0,0,,,,,,,,,,
Pertussis,Jul-20,0,27,1,7,19,2,62,8,126,0,0.3,0.4,0.1,1.1,0.4,0.9,0.3,0.5,,,,,,,,,,
Pneumococcal disease (invasive),Jul-20,1,40,8,25,14,2,18,23,131,0.2,0.5,3.3,0.5,0.8,0.4,0.3,0.9,0.5,,,,,,,,,,
Poliovirus infection,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Jul-20,5,21,2,20,24,4,5,23,104,1.2,0.3,0.8,0.4,1.4,0.7,0.1,0.9,0.4,,,,,,,,,,
Rubella,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Jul-20,4,0,1,72,29,6,39,45,196,0.9,0,0.4,1.4,1.7,1.1,0.6,1.7,0.8,,,,,,,,,,
Varicella zoster (shingles),Jul-20,31,0,37,598,311,45,166,212,1400,7.3,0,15,11.7,17.7,8.4,2.5,8.1,5.5,,,,,,,,,,
Varicella zoster (unspecified),Jul-20,8,0,6,232,30,18,623,169,1086,1.9,0,2.4,4.6,1.7,3.4,9.4,6.4,4.3,,,,,,,,,,
Barmah Forest virus infection,Jul-20,0,34,0,32,1,0,0,2,69,0,0.4,0,0.6,0.1,0,0,0.1,0.3,,,,,,,,,,
Chikungunya virus infection,Jul-20,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Jul-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Flavivirus infection (unspecified),Jul-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Jul-20,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Murray Valley encephalitis virus infection,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Jul-20,1,72,3,118,4,0,2,7,207,0.2,0.9,1.2,2.3,0.2,0,0,0.3,0.8,,,,,,,,,,
West Nile/Kunjin virus infection,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Jul-20,0,0,0,8,0,0,0,0,8,0,0,0,0.2,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Jul-20,0,2,0,2,0,0,1,0,5,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Jul-20,0,18,0,21,1,0,0,0,40,0,0.2,0,0.4,0.1,0,0,0,0.2,,,,,,,,,,
Tularaemia,Jul-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Jun-20,0,1,0,3,1,0,2,1,8,0,0,0,0.1,0.1,0,0,0,0,,,,,,,,,,
Hepatitis B (unspecified),Jun-20,9,172,5,69,19,7,129,53,463,2.1,2.1,2,1.4,1.1,1.3,2,2,1.8,,,,,,,,,,
Hepatitis C (newly acquired),Jun-20,1,3,0,49,0,0,0,9,62,0.2,0,0,1,0,0,0,0.3,0.2,,,,,,,,,,
Hepatitis C (unspecified),Jun-20,14,279,11,135,21,10,94,56,620,3.3,3.5,4.5,2.7,1.2,1.9,1.4,2.1,2.4,,,,,,,,,,
Hepatitis D,Jun-20,0,4,0,0,0,0,3,0,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Botulism,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,Jun-20,34,555,16,526,242,92,502,175,2142,8,6.9,6.5,10.3,13.8,17.2,7.6,6.7,12.4,,,,,,,,,,
Cryptosporidiosis,Jun-20,0,16,3,15,5,0,28,7,74,0,0.2,1.2,0.3,0.3,0,0.4,0.3,0.3,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),Jun-20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis E,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,Jun-20,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,Jun-20,0,5,1,1,12,0,7,7,33,0,0.1,0.4,0,0.7,0,0.1,0.3,0.1,,,,,,,,,,
Salmonellosis,Jun-20,5,152,33,192,30,7,117,153,689,1.2,1.9,13.4,3.8,1.7,1.3,1.8,5.8,2.7,,,,,,,,,,
Shigellosis,Jun-20,0,11,11,9,4,0,12,13,60,0,0.1,4.5,0.2,0.2,0,0.2,0.5,0.2,,,,,,,,,,
Typhoid Fever,Jun-20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Legionellosis,Jun-20,1,10,0,6,6,1,6,9,39,0.2,0.1,0,0.1,0.3,0.2,0.1,0.3,0.2,,,,,,,,,,
Leprosy,Jun-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),Jun-20,0,2,0,1,0,0,3,1,7,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tuberculosis,Jun-20,3,51,0,14,5,1,43,8,125,0.7,0.6,0,0.3,0.3,0.2,0.7,0.3,0.5,,,,,,,,,,
COVID-19,Jun-20,0,132,1,8,3,0,936,15,1095,0,1.6,0.4,0.2,0.2,0,14.2,0.6,4.3,,,,,,,,,,
Cholera,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,Jun-20,115,2101,171,1905,444,117,244,850,5947,27,26,69.5,37.4,25.3,21.9,3.7,32.4,23.5,,,,,,,,,,
Donovanosis,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,Jun-20,15,838,117,605,151,8,559,295,2588,3.5,10.4,47.5,11.9,8.6,1.5,8.5,11.3,10.2,,,,,,,,,,
Syphilis < 2 years,Jun-20,0,137,22,89,4,2,107,61,422,0,1.7,8.9,1.7,0.2,0.4,1.6,2.3,1.7,,,,,,,,,,
Syphilis > 2 years or unspecified duration,Jun-20,1,46,5,12,8,2,82,21,177,0.2,0.6,2,0.2,0.5,0.4,1.2,0.8,0.7,,,,,,,,,,
Syphilis congenital,Jun-20,0,0,1,0,0,0,0,2,3,0,0,0.4,0,0,0,0,0.1,0,,,,,,,,,,
Diphtheria,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,Jun-20,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),Jun-20,3,50,0,50,18,2,76,23,222,0.7,0.6,0,1,1,0.4,1.2,0.9,0.9,,,,,,,,,,
Measles,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,Jun-20,0,1,1,0,1,0,2,0,5,0,0,0.4,0,0.1,0,0,0,0,,,,,,,,,,
Pertussis,Jun-20,0,51,1,19,19,2,102,2,196,0,0.6,0.4,0.4,1.1,0.4,1.5,0.1,0.8,,,,,,,,,,
Pneumococcal disease (invasive),Jun-20,1,27,2,18,10,0,7,25,90,0.2,0.3,0.8,0.4,0.6,0,0.1,1,0.4,,,,,,,,,,
Poliovirus infection,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,Jun-20,3,28,6,16,13,1,15,14,96,0.7,0.3,2.4,0.3,0.7,0.2,0.2,0.5,0.4,,,,,,,,,,
Rubella,Jun-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,Jun-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),Jun-20,8,0,4,64,36,4,22,54,192,1.9,0,1.6,1.3,2.1,0.7,0.3,2.1,0.8,,,,,,,,,,
Varicella zoster (shingles),Jun-20,38,0,40,529,280,33,179,210,1309,8.9,0,16.3,10.4,16,6.2,2.7,8,5.2,,,,,,,,,,
Varicella zoster (unspecified),Jun-20,14,0,5,177,10,15,609,145,975,3.3,0,2,3.5,0.6,2.8,9.2,5.5,3.8,,,,,,,,,,
Barmah Forest virus infection,Jun-20,0,35,0,46,0,0,1,0,82,0,0.4,0,0.9,0,0,0,0,0.3,,,,,,,,,,
Chikungunya virus infection,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,Jun-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Flavivirus infection (unspecified),Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,Jun-20,0,1,0,3,0,0,1,2,7,0,0,0,0.1,0,0,0,0.1,0,,,,,,,,,,
Murray Valley encephalitis virus infection,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,Jun-20,0,240,5,324,1,1,18,16,605,0,3,2,6.4,0.1,0.2,0.3,0.6,2.4,,,,,,,,,,
West Nile/Kunjin virus infection,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,Jun-20,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,Jun-20,0,0,0,6,1,0,0,0,7,0,0,0,0.1,0.1,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,Jun-20,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,Jun-20,0,11,0,11,1,0,1,1,25,0,0.1,0,0.2,0.1,0,0,0,0.1,,,,,,,,,,
Tularaemia,Jun-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),May-20,0,3,0,4,0,0,1,3,11,0,0,0,0.1,0,0,0,0.1,0,,,,,,,,,,
Hepatitis B (unspecified),May-20,4,142,9,65,18,1,110,38,387,0.9,1.8,3.7,1.3,1,0.2,1.7,1.4,1.5,,,,,,,,,,
Hepatitis C (newly acquired),May-20,2,0,0,43,0,0,2,17,64,0.5,0,0,0.8,0,0,0,0.6,0.3,,,,,,,,,,
Hepatitis C (unspecified),May-20,8,222,5,164,16,11,100,65,591,1.9,2.7,2,3.2,0.9,2.1,1.5,2.5,2.3,,,,,,,,,,
Hepatitis D,May-20,0,3,0,2,0,0,1,0,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Botulism,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Campylobacteriosis,May-20,41,524,26,514,206,64,413,185,1973,9.6,6.5,10.6,10.1,11.8,12,6.3,7.1,11.4,,,,,,,,,,
Cryptosporidiosis,May-20,0,32,3,32,13,2,43,14,139,0,0.4,1.2,0.6,0.7,0.4,0.7,0.5,0.5,,,,,,,,,,
Haemolytic uraemic syndrome (HUS),May-20,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis A,May-20,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis E,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Listeriosis,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Paratyphoid,May-20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
STEC,May-20,0,6,0,0,16,0,9,4,35,0,0.1,0,0,0.9,0,0.1,0.2,0.1,,,,,,,,,,
Salmonellosis,May-20,10,202,31,252,48,9,150,149,851,2.3,2.5,12.6,4.9,2.7,1.7,2.3,5.7,3.4,,,,,,,,,,
Shigellosis,May-20,1,8,7,11,8,0,10,16,61,0.2,0.1,2.8,0.2,0.5,0,0.2,0.6,0.2,,,,,,,,,,
Typhoid Fever,May-20,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Legionellosis,May-20,0,11,0,6,10,0,10,15,52,0,0.1,0,0.1,0.6,0,0.2,0.6,0.2,,,,,,,,,,
Leprosy,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Meningococcal disease (invasive),May-20,0,1,0,1,0,0,0,2,4,0,0,0,0,0,0,0,0.1,0,,,,,,,,,,
Tuberculosis,May-20,1,47,2,16,6,2,41,7,122,0.2,0.6,0.8,0.3,0.3,0.4,0.6,0.3,0.5,,,,,,,,,,
COVID-19,May-20,1,66,0,9,1,1,256,34,368,0.2,0.8,0,0.2,0.1,0.2,3.9,1.3,1.5,,,,,,,,,,
Cholera,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Middle East respiratory syndrome coronavirus,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Plague,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rabies,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Smallpox,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Viral haemorrhagic fever (NEC),May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Yellow fever,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Chlamydial infection,May-20,105,1872,194,1802,470,71,221,914,5649,24.6,23.2,78.8,35.4,26.8,13.3,3.4,34.9,22.3,,,,,,,,,,
Donovanosis,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Gonococcal infection,May-20,20,697,74,545,128,15,527,298,2304,4.7,8.6,30.1,10.7,7.3,2.8,8,11.4,9.1,,,,,,,,,,
Syphilis < 2 years,May-20,6,144,21,90,10,1,111,75,458,1.4,1.8,8.5,1.8,0.6,0.2,1.7,2.9,1.8,,,,,,,,,,
Syphilis > 2 years or unspecified duration,May-20,1,44,1,20,5,2,87,22,182,0.2,0.5,0.4,0.4,0.3,0.4,1.3,0.8,0.7,,,,,,,,,,
Syphilis congenital,May-20,0,0,1,0,0,0,1,0,2,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Diphtheria,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Haemophilus influenzae type b,May-20,0,0,1,0,0,0,0,0,1,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Influenza (laboratory confirmed),May-20,1,51,4,59,35,5,59,17,231,0.2,0.6,1.6,1.2,2,0.9,0.9,0.6,0.9,,,,,,,,,,
Measles,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Mumps,May-20,0,1,1,3,0,0,0,1,6,0,0,0.4,0.1,0,0,0,0,0,,,,,,,,,,
Pertussis,May-20,3,55,1,25,38,4,79,6,211,0.7,0.7,0.4,0.5,2.2,0.7,1.2,0.2,0.8,,,,,,,,,,
Pneumococcal disease (invasive),May-20,0,14,7,6,1,0,8,10,46,0,0.2,2.8,0.1,0.1,0,0.1,0.4,0.2,,,,,,,,,,
Poliovirus infection,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rotavirus,May-20,11,22,1,13,24,1,15,19,106,2.6,0.3,0.4,0.3,1.4,0.2,0.2,0.7,0.4,,,,,,,,,,
Rubella,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Rubella congenital,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Tetanus,May-20,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Varicella zoster (chickenpox),May-20,2,0,2,55,29,3,25,32,148,0.5,0,0.8,1.1,1.7,0.6,0.4,1.2,0.6,,,,,,,,,,
Varicella zoster (shingles),May-20,34,0,30,591,286,33,187,211,1372,8,0,12.2,11.6,16.3,6.2,2.8,8,5.4,,,,,,,,,,
Varicella zoster (unspecified),May-20,6,0,8,151,7,21,579,105,877,1.4,0,3.3,3,0.4,3.9,8.8,4,3.5,,,,,,,,,,
Barmah Forest virus infection,May-20,0,51,1,59,0,0,0,4,115,0,0.6,0.4,1.2,0,0,0,0.2,0.5,,,,,,,,,,
Chikungunya virus infection,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Dengue virus infection,May-20,0,0,1,0,0,0,0,0,1,0,0,0.4,0,0,0,0,0,0,,,,,,,,,,
Flavivirus infection (unspecified),May-20,0,1,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Japanese encephalitis virus infection,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Malaria,May-20,0,1,1,4,1,0,3,0,10,0,0,0.4,0.1,0.1,0,0,0,0,,,,,,,,,,
Murray Valley encephalitis virus infection,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ross River virus infection,May-20,0,694,9,955,2,0,19,28,1707,0,8.6,3.7,18.8,0.1,0,0.3,1.1,6.7,,,,,,,,,,
West Nile/Kunjin virus infection,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Anthrax,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Australian bat lyssavirus infection,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Brucellosis,May-20,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Leptospirosis,May-20,0,1,0,6,0,0,0,1,8,0,0,0,0.1,0,0,0,0,0,,,,,,,,,,
Lyssavirus infection (NEC),May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Ornithosis,May-20,0,5,0,0,0,0,0,0,5,0,0.1,0,0,0,0,0,0,0,,,,,,,,,,
Q fever,May-20,0,18,0,26,2,0,4,1,51,0,0.2,0,0.5,0.1,0,0.1,0,0.2,,,,,,,,,,
Tularaemia,May-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis (NEC),Apr-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,
Hepatitis B (newly acquired),Apr-20,0,2,0,9,0,0,1,2,14,0,0,0,0.2,0,0,0,0.1,0.1,,,,,,,,,,
Hepatitis B (unspecified),Apr-20,8,123,5,48,16,4,70,29,303,1.9,1.5,2,0.9,0.9,0.7,1.1,1.1,1.2,,,,,,,,,,
