"","Disease","Date","State","Cases","Rates","Cases_7dayavg","Rates_7dayavg"
"877","Varicella zoster (shingles)",2019-03-31,"Northern Territory",36,14.6,10.1428571428571,4.1
"878","Malaria",2019-03-31,"Northern Territory",1,0.4,10.8571428571429,4.4
"879","Ross River virus infection",2019-03-31,"Northern Territory",17,6.9,12.4285714285714,5.04285714285714
"880","Leptospirosis",2019-03-31,"Northern Territory",2,0.8,16.2857142857143,6.61428571428571
"881","Hepatitis B (unspecified)",2019-03-31,"Queensland",75,1.5,164.714285714286,3.24285714285714
"882","Hepatitis C (newly acquired)",2019-03-31,"Queensland",35,0.7,173.285714285714,3.41428571428571
"883","Hepatitis C (unspecified)",2019-03-31,"Queensland",163,3.2,219.571428571429,4.31428571428571
"884","Campylobacteriosis",2019-03-31,"Queensland",704,13.8,224.285714285714,4.4
"885","Cryptosporidiosis",2019-03-31,"Queensland",72,1.4,215.285714285714,4.21428571428571
"886","Salmonellosis",2019-03-31,"Queensland",459,9,512,10.0428571428571
"887","Shigellosis",2019-03-31,"Queensland",62,1.2,553.714285714286,10.8571428571429
"888","Tuberculosis",2019-03-31,"Queensland",12,0.2,468.571428571429,9.18571428571429
"889","Chlamydial infection",2019-03-31,"Queensland",2112,41.5,463.142857142857,9.08571428571429
"890","Gonococcal infection",2019-03-31,"Queensland",455,8.9,781.142857142857,15.3285714285714
"891","Syphilis < 2 years",2019-03-31,"Queensland",108,2.1,788.142857142857,15.4714285714286
"892","Syphilis > 2 years or unspecified duration",2019-03-31,"Queensland",34,0.7,788.714285714286,15.4857142857143
"893","Influenza (laboratory confirmed)",2019-03-31,"Queensland",2685,52.7,495.857142857143,9.72857142857143
"894","Pertussis",2019-03-31,"Queensland",111,2.2,437.714285714286,8.58571428571429
"895","Pneumococcal disease (invasive)",2019-03-31,"Queensland",16,0.3,466.857142857143,9.15714285714286
"896","Rotavirus",2019-03-31,"Queensland",62,1.2,526.428571428571,10.3285714285714
"897","Varicella zoster (chickenpox)",2019-03-31,"Queensland",48,0.9,145.571428571429,2.85714285714286
"898","Varicella zoster (shingles)",2019-03-31,"Queensland",312,6.1,132.285714285714,2.6
"899","Varicella zoster (unspecified)",2019-03-31,"Queensland",451,8.9,153.428571428571,3.01428571428571
"900","Barmah Forest virus infection",2019-03-31,"Queensland",19,0.4,145.857142857143,2.87142857142857
"901","Dengue virus infection",2019-03-31,"Queensland",18,0.4,142.857142857143,2.81428571428571
"902","Ross River virus infection",2019-03-31,"Queensland",164,3.2,107.714285714286,2.12857142857143
"903","Leptospirosis",2019-03-31,"Queensland",9,0.2,47.8571428571429,0.942857142857142
"904","Q fever",2019-03-31,"Queensland",27,0.5,66.7142857142857,1.31428571428571
"905","Hepatitis B (unspecified)",2019-03-31,"South Australia",47,2.7,49.1428571428571,2.82857142857143
"906","Hepatitis C (newly acquired)",2019-03-31,"South Australia",3,0.2,49.4285714285714,2.84285714285714
"907","Hepatitis C (unspecified)",2019-03-31,"South Australia",31,1.8,53.5714285714286,3.07142857142857
"908","Campylobacteriosis",2019-03-31,"South Australia",250,14.3,69.5714285714286,3.98571428571428
"909","Cryptosporidiosis",2019-03-31,"South Australia",9,0.5,66.5714285714286,3.81428571428571
"910","STEC",2019-03-31,"South Australia",32,1.8,149,8.51428571428571
"911","Salmonellosis",2019-03-31,"South Australia",115,6.6,172.428571428571,9.84285714285714
"912","Shigellosis",2019-03-31,"South Australia",26,1.5,138.285714285714,7.88571428571428
"913","Chlamydial infection",2019-03-31,"South Australia",580,33.1,139,7.92857142857143
"914","Gonococcal infection",2019-03-31,"South Australia",195,11.1,507.428571428571,28.9571428571429
"915","Syphilis < 2 years",2019-03-31,"South Australia",11,0.6,493.714285714286,28.1714285714286
"916","Syphilis > 2 years or unspecified duration",2019-03-31,"South Australia",14,0.8,492.571428571429,28.1
"917","Influenza (laboratory confirmed)",2019-03-31,"South Australia",2611,149,415.571428571429,23.7
"918","Pertussis",2019-03-31,"South Australia",19,1.1,397.142857142857,22.6571428571429
"919","Pneumococcal disease (invasive)",2019-03-31,"South Australia",18,1,439.857142857143,25.1
"920","Rotavirus",2019-03-31,"South Australia",41,2.3,438.571428571429,25.0285714285714
"921","Varicella zoster (chickenpox)",2019-03-31,"South Australia",66,3.8,66.4285714285714,3.78571428571428
"922","Varicella zoster (shingles)",2019-03-31,"South Australia",310,17.7,64.2857142857143,3.65714285714286
"923","Varicella zoster (unspecified)",2019-03-31,"South Australia",5,0.3,62.4285714285714,3.55714285714286
"924","Dengue virus infection",2019-03-31,"South Australia",6,0.3,59.4285714285714,3.38571428571428
"925","Malaria",2019-03-31,"South Australia",4,0.2,53.8571428571429,3.05714285714286
"926","Ross River virus infection",2019-03-31,"South Australia",5,0.3,40.2857142857143,2.28571428571428
"927","Hepatitis B (unspecified)",2019-03-31,"Tasmania",3,0.6,11.5714285714286,2.18571428571429
"928","Hepatitis C (newly acquired)",2019-03-31,"Tasmania",2,0.4,11.7142857142857,2.2
"929","Hepatitis C (unspecified)",2019-03-31,"Tasmania",9,1.7,15,2.81428571428571
"930","Campylobacteriosis",2019-03-31,"Tasmania",60,11.2,15.2857142857143,2.85714285714286
"931","Cryptosporidiosis",2019-03-31,"Tasmania",4,0.7,15,2.8
"932","Salmonellosis",2019-03-31,"Tasmania",25,4.7,14.8571428571429,2.77142857142857
"933","Shigellosis",2019-03-31,"Tasmania",4,0.7,13.7142857142857,2.55714285714286
"934","Legionellosis",2019-03-31,"Tasmania",1,0.2,27.5714285714286,5.15714285714286
"935","Meningococcal disease (invasive)",2019-03-31,"Tasmania",1,0.2,28.2857142857143,5.3
"936","Tuberculosis",2019-03-31,"Tasmania",1,0.2,24.8571428571429,4.65714285714286
"937","Chlamydial infection",2019-03-31,"Tasmania",157,29.4,24.7142857142857,4.64285714285714
"938","Gonococcal infection",2019-03-31,"Tasmania",9,1.7,45.5714285714286,8.54285714285714
"939","Syphilis < 2 years",2019-03-31,"Tasmania",1,0.2,54.5714285714286,10.2285714285714
"940","Syphilis > 2 years or unspecified duration",2019-03-31,"Tasmania",3,0.6,54.5714285714286,10.2285714285714
"941","Influenza (laboratory confirmed)",2019-03-31,"Tasmania",147,27.5,32.5714285714286,6.11428571428571
"942","Pertussis",2019-03-31,"Tasmania",64,12,32.2857142857143,6.05714285714286
"943","Pneumococcal disease (invasive)",2019-03-31,"Tasmania",1,0.2,37.8571428571429,7.1
"944","Rotavirus",2019-03-31,"Tasmania",3,0.6,39.5714285714286,7.41428571428572
"945","Varicella zoster (chickenpox)",2019-03-31,"Tasmania",7,1.3,19.1428571428571,3.58571428571429
"946","Varicella zoster (shingles)",2019-03-31,"Tasmania",40,7.5,10.1428571428571,1.9
"947","Varicella zoster (unspecified)",2019-03-31,"Tasmania",15,2.8,10.8571428571429,2.02857142857143
"948","Barmah Forest virus infection",2019-03-31,"Tasmania",4,0.7,11.7142857142857,2.18571428571429
"949","Hepatitis B (newly acquired)",2019-03-31,"Victoria",10,0.2,214.714285714286,3.25714285714286
"950","Hepatitis B (unspecified)",2019-03-31,"Victoria",159,2.4,141.142857142857,2.14285714285714
"951","Hepatitis C (unspecified)",2019-03-31,"Victoria",155,2.4,176.428571428571,2.68571428571428
"952","Campylobacteriosis",2019-03-31,"Victoria",543,8.2,183.285714285714,2.78571428571428
"953","Cryptosporidiosis",2019-03-31,"Victoria",80,1.2,187,2.82857142857143
"954","Salmonellosis",2019-03-31,"Victoria",274,4.2,480.571428571429,7.28571428571428
"955","Shigellosis",2019-03-31,"Victoria",62,0.9,568.285714285714,8.61428571428571
"956","Tuberculosis",2019-03-31,"Victoria",36,0.5,517.285714285714,7.84285714285714
"957","Chlamydial infection",2019-03-31,"Victoria",2214,33.6,515.428571428571,7.81428571428571
"958","Gonococcal infection",2019-03-31,"Victoria",769,11.7,784,11.8857142857143
"959","Syphilis < 2 years",2019-03-31,"Victoria",186,2.8,799,12.1142857142857
"960","Syphilis > 2 years or unspecified duration",2019-03-31,"Victoria",67,1,798.142857142857,12.1142857142857
"961","Influenza (laboratory confirmed)",2019-03-31,"Victoria",2154,32.7,485.285714285714,7.37142857142857
"962","Pertussis",2019-03-31,"Victoria",167,2.5,395.285714285714,6
"963","Pneumococcal disease (invasive)",2019-03-31,"Victoria",30,0.5,405.428571428571,6.15714285714286
"964","Rotavirus",2019-03-31,"Victoria",24,0.4,492.142857142857,7.47142857142857
"965","Varicella zoster (chickenpox)",2019-03-31,"Victoria",139,2.1,188,2.85714285714285
"966","Varicella zoster (shingles)",2019-03-31,"Victoria",257,3.9,165.571428571429,2.52857142857143
"967","Varicella zoster (unspecified)",2019-03-31,"Victoria",674,10.2,182.857142857143,2.78571428571428
"968","Dengue virus infection",2019-03-31,"Victoria",25,0.4,201.714285714286,3.07142857142857
"969","Ross River virus infection",2019-03-31,"Victoria",10,0.2,249.714285714286,3.8
"970","Hepatitis B (unspecified)",2019-03-31,"Western Australia",33,1.3,59.8571428571429,2.3
"971","Hepatitis C (newly acquired)",2019-03-31,"Western Australia",7,0.3,59.4285714285714,2.28571428571428
"972","Hepatitis C (unspecified)",2019-03-31,"Western Australia",96,3.7,59.7142857142857,2.28571428571428
"973","Campylobacteriosis",2019-03-31,"Western Australia",216,8.2,57,2.18571428571428
"974","Cryptosporidiosis",2019-03-31,"Western Australia",28,1.1,82,3.12857142857143
"975","Hepatitis A",2019-03-31,"Western Australia",6,0.2,85.4285714285714,3.25714285714286
"976","STEC",2019-03-31,"Western Australia",13,0.5,73.2857142857143,2.78571428571428
"977","Salmonellosis",2019-03-31,"Western Australia",208,7.9,177.857142857143,6.78571428571428
"978","Shigellosis",2019-03-31,"Western Australia",31,1.2,225.571428571429,8.6
"979","Tuberculosis",2019-03-31,"Western Australia",11,0.4,231,8.81428571428571
"980","Chlamydial infection",2019-03-31,"Western Australia",948,36.2,231.714285714286,8.84285714285714
"981","Gonococcal infection",2019-03-31,"Western Australia",362,13.8,260.142857142857,9.92857142857143
"982","Syphilis < 2 years",2019-03-31,"Western Australia",44,1.7,262.714285714286,10.0285714285714
"983","Syphilis > 2 years or unspecified duration",2019-03-31,"Western Australia",18,0.7,262.714285714286,10.0285714285714
"984","Influenza (laboratory confirmed)",2019-03-31,"Western Australia",407,15.5,131,5
"985","Pertussis",2019-03-31,"Western Australia",49,1.9,87.2857142857143,3.32857142857143
"986","Pneumococcal disease (invasive)",2019-03-31,"Western Australia",11,0.4,109.142857142857,4.15714285714286
"987","Rotavirus",2019-03-31,"Western Australia",26,1,124.714285714286,4.74285714285714
"988","Varicella zoster (chickenpox)",2019-03-31,"Western Australia",56,2.1,71.8571428571429,2.72857142857143
"989","Varicella zoster (shingles)",2019-03-31,"Western Australia",197,7.5,65.8571428571429,2.5
"990","Varicella zoster (unspecified)",2019-03-31,"Western Australia",127,4.8,69.7142857142857,2.64285714285714
"991","Dengue virus infection",2019-03-31,"Western Australia",37,1.4,71,2.68571428571428
"992","Malaria",2019-03-31,"Western Australia",7,0.3,64.8571428571429,2.45714285714286
"993","Ross River virus infection",2019-03-31,"Western Australia",38,1.4,46.2857142857143,1.75714285714286
"994","Hepatitis B (unspecified)",2019-03-31,"Australia",543,2.1,663.714285714286,3.34285714285714
"995","Hepatitis C (newly acquired)",2019-03-31,"Australia",60,0.2,686.428571428571,3.44285714285714
"996","Hepatitis C (unspecified)",2019-03-31,"Australia",802,3.2,656.428571428571,3.31428571428571
"997","Campylobacteriosis",2019-03-31,"Australia",2786,16.1,867,4.14285714285714
"998","Cryptosporidiosis",2019-03-31,"Australia",293,1.2,829.142857142857,4
"999","STEC",2019-03-31,"Australia",57,0.2,837.714285714286,4.04285714285714
"1000","Salmonellosis",2019-03-31,"Australia",1528,6,2038.14285714286,8.77142857142857
"1001","Shigellosis",2019-03-31,"Australia",278,1.1,2069,8.15714285714285
"1002","Tuberculosis",2019-03-31,"Australia",120,0.5,2100.71428571429,8.27142857142857
"1003","Chlamydial infection",2019-03-31,"Australia",9205,36.3,2123.85714285714,8.37142857142857
"1004","Gonococcal infection",2019-03-31,"Australia",3002,11.8,3509.42857142857,13.8428571428571
"1005","Syphilis < 2 years",2019-03-31,"Australia",515,2,3476.14285714286,13.7142857142857
"1006","Syphilis > 2 years or unspecified duration",2019-03-31,"Australia",219,0.9,3592.57142857143,14.1714285714286
"1007","Influenza (laboratory confirmed)",2019-03-31,"Australia",11227,44.3,2292.42857142857,9.04285714285714
"1008","Measles",2019-03-31,"Australia",45,0.2,1894.57142857143,7.48571428571428
"1009","Pertussis",2019-03-31,"Australia",935,3.7,1869.85714285714,7.38571428571428
"1010","Pneumococcal disease (invasive)",2019-03-31,"Australia",104,0.4,2008.14285714286,7.92857142857143
"1011","Rotavirus",2019-03-31,"Australia",217,0.9,588.285714285714,2.32857142857143
"1012","Varicella zoster (chickenpox)",2019-03-31,"Australia",342,1.3,599.571428571429,2.37142857142857
"1013","Varicella zoster (shingles)",2019-03-31,"Australia",1187,4.7,511.714285714286,2.02857142857143
"1014","Varicella zoster (unspecified)",2019-03-31,"Australia",1288,5.1,505,2
"1015","Dengue virus infection",2019-03-31,"Australia",124,0.5,542.142857142857,2.14285714285714
"1016","Ross River virus infection",2019-03-31,"Australia",320,1.3,500.714285714286,1.98571428571428
"1017","Q fever",2019-03-31,"Australia",57,0.2,428.428571428571,1.7
"1018","Hepatitis B (unspecified)",2019-04-30,"Australian Capital Territory",4,0.9,13.2857142857143,3.1
"1019","Hepatitis C (newly acquired)",2019-04-30,"Australian Capital Territory",1,0.2,8.57142857142857,2
"1020","Hepatitis C (unspecified)",2019-04-30,"Australian Capital Territory",6,1.4,6.57142857142857,1.52857142857143
"1021","Campylobacteriosis",2019-04-30,"Australian Capital Territory",30,7,8.57142857142857,2
"1022","Cryptosporidiosis",2019-04-30,"Australian Capital Territory",2,0.5,8.85714285714286,2.07142857142857
"1023","Listeriosis",2019-04-30,"Australian Capital Territory",2,0.5,8.85714285714286,2.07142857142857
"1024","Salmonellosis",2019-04-30,"Australian Capital Territory",15,3.5,8.28571428571429,1.94285714285714
"1025","Shigellosis",2019-04-30,"Australian Capital Territory",6,1.4,24.5714285714286,5.77142857142857
"1026","Typhoid Fever",2019-04-30,"Australian Capital Territory",1,0.2,28.8571428571429,6.77142857142857
"1027","Tuberculosis",2019-04-30,"Australian Capital Territory",2,0.5,29.1428571428571,6.82857142857143
"1028","Chlamydial infection",2019-04-30,"Australian Capital Territory",144,33.8,27.1428571428571,6.35714285714286
"1029","Gonococcal infection",2019-04-30,"Australian Capital Territory",32,7.5,37.4285714285714,8.77142857142857
"1030","Syphilis < 2 years",2019-04-30,"Australian Capital Territory",4,0.9,38.8571428571429,9.11428571428572
"1031","Syphilis > 2 years or unspecified duration",2019-04-30,"Australian Capital Territory",1,0.2,39.1428571428571,9.17142857142857
"1032","Influenza (laboratory confirmed)",2019-04-30,"Australian Capital Territory",78,18.3,20.2857142857143,4.74285714285714
"1033","Pertussis",2019-04-30,"Australian Capital Territory",11,2.6,18.4285714285714,4.31428571428572
"1034","Pneumococcal disease (invasive)",2019-04-30,"Australian Capital Territory",4,0.9,24.5714285714286,5.75714285714286
"1035","Rotavirus",2019-04-30,"Australian Capital Territory",12,2.8,26.1428571428571,6.12857142857143
"1036","Varicella zoster (chickenpox)",2019-04-30,"Australian Capital Territory",19,4.5,15.4285714285714,3.61428571428572
"1037","Varicella zoster (shingles)",2019-04-30,"Australian Capital Territory",47,11,14,3.27142857142857
"1038","Varicella zoster (unspecified)",2019-04-30,"Australian Capital Territory",12,2.8,14.1428571428571,3.31428571428572
"1039","Dengue virus infection",2019-04-30,"Australian Capital Territory",3,0.7,14.4285714285714,3.38571428571429
"1040","Malaria",2019-04-30,"Australian Capital Territory",1,0.2,19.7142857142857,4.61428571428571
"1041","Hepatitis B (unspecified)",2019-04-30,"New South Wales",186,2.3,203,2.51428571428571
"1042","Hepatitis C (unspecified)",2019-04-30,"New South Wales",250,3.1,244.571428571429,3.02857142857143
"1043","Campylobacteriosis",2019-04-30,"New South Wales",798,9.9,242.571428571429,3
"1044","Cryptosporidiosis",2019-04-30,"New South Wales",36,0.4,245.571428571429,3.04285714285714
"1045","Salmonellosis",2019-04-30,"New South Wales",328,4.1,564,6.98571428571428
"1046","Shigellosis",2019-04-30,"New South Wales",72,0.9,661.571428571429,8.18571428571429
"1047","Tuberculosis",2019-04-30,"New South Wales",49,0.6,569.142857142857,7.04285714285714
"1048","Chlamydial infection",2019-04-30,"New South Wales",2415,29.9,572.714285714286,7.1
"1049","Gonococcal infection",2019-04-30,"New South Wales",933,11.5,996.142857142857,12.3285714285714
"1050","Syphilis < 2 years",2019-04-30,"New South Wales",151,1.9,1050.85714285714,13
"1051","Syphilis > 2 years or unspecified duration",2019-04-30,"New South Wales",61,0.8,1050.42857142857,13
"1052","Influenza (laboratory confirmed)",2019-04-30,"New South Wales",3292,40.7,713.571428571429,8.82857142857143
"1053","Pertussis",2019-04-30,"New South Wales",455,5.6,586.714285714286,7.27142857142857
"1054","Pneumococcal disease (invasive)",2019-04-30,"New South Wales",46,0.6,577,7.14285714285714
"1055","Rotavirus",2019-04-30,"New South Wales",57,0.7,570.571428571429,7.05714285714286
"1056","Dengue virus infection",2019-04-30,"New South Wales",45,0.6,127.857142857143,1.58571428571428
"1057","Ross River virus infection",2019-04-30,"New South Wales",83,1,102.714285714286,1.28571428571428
"1058","Q fever",2019-04-30,"New South Wales",16,0.2,215.714285714286,2.68571428571428
"1059","Hepatitis B (unspecified)",2019-04-30,"Northern Territory",9,3.7,13,5.28571428571428
"1060","Hepatitis C (unspecified)",2019-04-30,"Northern Territory",15,6.1,18,7.31428571428571
"1061","Campylobacteriosis",2019-04-30,"Northern Territory",34,13.8,20,8.12857142857142
"1062","Cryptosporidiosis",2019-04-30,"Northern Territory",13,5.3,20.1428571428571,8.18571428571428
"1063","Salmonellosis",2019-04-30,"Northern Territory",36,14.6,19,7.71428571428571
"1064","Shigellosis",2019-04-30,"Northern Territory",31,12.6,55.8571428571429,22.6857142857143
"1065","Tuberculosis",2019-04-30,"Northern Territory",3,1.2,67.5714285714286,27.4428571428571
"1066","Cholera",2019-04-30,"Northern Territory",1,0.4,68.8571428571429,27.9571428571429
"1067","Chlamydial infection",2019-04-30,"Northern Territory",273,110.9,64.8571428571429,26.3428571428571
"1068","Gonococcal infection",2019-04-30,"Northern Territory",116,47.1,60.5714285714286,24.6
"1069","Syphilis < 2 years",2019-04-30,"Northern Territory",22,8.9,102.142857142857,41.5
"1070","Syphilis > 2 years or unspecified duration",2019-04-30,"Northern Territory",8,3.3,102.571428571429,41.6714285714286
"1071","Haemophilus influenzae type b",2019-04-30,"Northern Territory",1,0.4,64.4285714285714,26.1714285714286
"1072","Influenza (laboratory confirmed)",2019-04-30,"Northern Territory",294,119.5,48.2857142857143,19.6142857142857
"1073","Pertussis",2019-04-30,"Northern Territory",4,1.6,45.8571428571429,18.6285714285714
"1074","Pneumococcal disease (invasive)",2019-04-30,"Northern Territory",6,2.4,51,20.7142857142857
"1075","Rotavirus",2019-04-30,"Northern Territory",3,1.2,51.7142857142857,21
"1076","Varicella zoster (chickenpox)",2019-04-30,"Northern Territory",5,2,12.1428571428571,4.91428571428571
"1077","Varicella zoster (shingles)",2019-04-30,"Northern Territory",44,17.9,11.7142857142857,4.74285714285714
"1078","Dengue virus infection",2019-04-30,"Northern Territory",6,2.4,11.8571428571429,4.8
"1079","Ross River virus infection",2019-04-30,"Northern Territory",17,6.9,11.5714285714286,4.68571428571428
"1080","Hepatitis B (unspecified)",2019-04-30,"Queensland",66,1.3,149.571428571429,2.92857142857143
"1081","Hepatitis C (newly acquired)",2019-04-30,"Queensland",32,0.6,136,2.67142857142857
"1082","Hepatitis C (unspecified)",2019-04-30,"Queensland",151,3,192.857142857143,3.78571428571428
"1083","Campylobacteriosis",2019-04-30,"Queensland",598,11.7,196.142857142857,3.85714285714286
"1084","Cryptosporidiosis",2019-04-30,"Queensland",69,1.4,189,3.71428571428571
"1085","Salmonellosis",2019-04-30,"Queensland",407,8,442.857142857143,8.7
"1086","Shigellosis",2019-04-30,"Queensland",50,1,484.857142857143,9.51428571428571
"1087","Tuberculosis",2019-04-30,"Queensland",16,0.3,408.142857142857,8.01428571428571
"1088","Chlamydial infection",2019-04-30,"Queensland",1809,35.5,402.142857142857,7.88571428571428
"1089","Gonococcal infection",2019-04-30,"Queensland",445,8.7,765.428571428571,15.0142857142857
"1090","Syphilis < 2 years",2019-04-30,"Queensland",61,1.2,769.714285714286,15.1
"1091","Syphilis > 2 years or unspecified duration",2019-04-30,"Queensland",27,0.5,771.428571428571,15.1285714285714
"1092","Influenza (laboratory confirmed)",2019-04-30,"Queensland",2950,57.9,522,10.2285714285714
"1093","Pertussis",2019-04-30,"Queensland",80,1.6,462.714285714286,9.07142857142857
"1094","Pneumococcal disease (invasive)",2019-04-30,"Queensland",28,0.5,493.285714285714,9.67142857142857
"1095","Rotavirus",2019-04-30,"Queensland",63,1.2,548.285714285714,10.7571428571429
"1096","Varicella zoster (chickenpox)",2019-04-30,"Queensland",30,0.6,128.142857142857,2.51428571428571
"1097","Varicella zoster (shingles)",2019-04-30,"Queensland",275,5.4,119.428571428571,2.34285714285714
"1098","Varicella zoster (unspecified)",2019-04-30,"Queensland",412,8.1,147.857142857143,2.91428571428571
"1099","Barmah Forest virus infection",2019-04-30,"Queensland",9,0.2,140,2.77142857142857
"1100","Dengue virus infection",2019-04-30,"Queensland",19,0.4,138.714285714286,2.74285714285714
"1101","Ross River virus infection",2019-04-30,"Queensland",227,4.5,111.142857142857,2.2
"1102","Leptospirosis",2019-04-30,"Queensland",8,0.2,57.7142857142857,1.14285714285714
"1103","Q fever",2019-04-30,"Queensland",21,0.4,78.8571428571429,1.55714285714286
"1104","Hepatitis B (unspecified)",2019-04-30,"South Australia",20,1.1,40.7142857142857,2.31428571428571
"1105","Hepatitis C (unspecified)",2019-04-30,"South Australia",27,1.5,42.2857142857143,2.41428571428571
"1106","Campylobacteriosis",2019-04-30,"South Australia",215,12.3,52,2.97142857142857
"1107","Cryptosporidiosis",2019-04-30,"South Australia",8,0.5,56.7142857142857,3.24285714285714
"1108","STEC",2019-04-30,"South Australia",17,1,54.5714285714286,3.12857142857143
"1109","Salmonellosis",2019-04-30,"South Australia",72,4.1,51.1428571428571,2.94285714285714
"1110","Shigellosis",2019-04-30,"South Australia",38,2.2,21.1428571428571,1.22857142857143
"1111","Legionellosis",2019-04-30,"South Australia",5,0.3,87.7142857142857,5.01428571428571
"1112","Meningococcal disease (invasive)",2019-04-30,"South Australia",3,0.2,113,6.45714285714286
"1113","Tuberculosis",2019-04-30,"South Australia",5,0.3,103.714285714286,5.92857142857143
"1114","Chlamydial infection",2019-04-30,"South Australia",474,27,99.7142857142857,5.7
"1115","Gonococcal infection",2019-04-30,"South Australia",194,11.1,1085.28571428571,61.9428571428571
"1116","Syphilis < 2 years",2019-04-30,"South Australia",7,0.4,1087.42857142857,62.0571428571429
"1117","Syphilis > 2 years or unspecified duration",2019-04-30,"South Australia",10,0.6,1089,62.1428571428571
"1118","Influenza (laboratory confirmed)",2019-04-30,"South Australia",6904,394,1026.57142857143,58.5857142857143
"1119","Pertussis",2019-04-30,"South Australia",18,1,1006,57.4142857142857
"1120","Pneumococcal disease (invasive)",2019-04-30,"South Australia",16,0.9,1043.28571428571,59.5428571428571
"1121","Rotavirus",2019-04-30,"South Australia",37,2.1,1043,59.5285714285714
"1122","Varicella zoster (chickenpox)",2019-04-30,"South Australia",50,2.9,57.7142857142857,3.29999999999999
"1123","Varicella zoster (shingles)",2019-04-30,"South Australia",268,15.3,55.5714285714286,3.18571428571428
"1124","Dengue virus infection",2019-04-30,"South Australia",8,0.5,57.4285714285714,3.29999999999999
"1125","Malaria",2019-04-30,"South Australia",7,0.4,52.5714285714286,3.02857142857142
"1126","Ross River virus infection",2019-04-30,"South Australia",3,0.2,48.7142857142857,2.79999999999999
"1127","Hepatitis B (newly acquired)",2019-04-30,"Tasmania",1,0.2,15.7142857142857,2.92857142857143
"1128","Hepatitis B (unspecified)",2019-04-30,"Tasmania",6,1.1,10.4285714285714,1.94285714285714
"1129","Hepatitis C (unspecified)",2019-04-30,"Tasmania",9,1.7,8.42857142857143,1.57142857142857
"1130","Campylobacteriosis",2019-04-30,"Tasmania",35,6.5,10.7142857142857,2
"1131","Cryptosporidiosis",2019-04-30,"Tasmania",3,0.6,10.7142857142857,2
"1132","Hepatitis A",2019-04-30,"Tasmania",1,0.2,10,1.87142857142857
"1133","Salmonellosis",2019-04-30,"Tasmania",20,3.7,8.85714285714286,1.65714285714286
"1134","Shigellosis",2019-04-30,"Tasmania",1,0.2,4,0.757142857142858
"1135","Legionellosis",2019-04-30,"Tasmania",1,0.2,19.8571428571429,3.71428571428571
"1136","Meningococcal disease (invasive)",2019-04-30,"Tasmania",1,0.2,20.7142857142857,3.87142857142857
"1137","Tuberculosis",2019-04-30,"Tasmania",1,0.2,73.2857142857143,13.7142857142857
"1138","Chlamydial infection",2019-04-30,"Tasmania",114,21.3,73.2857142857143,13.7142857142857
"1139","Gonococcal infection",2019-04-30,"Tasmania",7,1.3,79.5714285714286,14.8857142857143
"1140","Influenza (laboratory confirmed)",2019-04-30,"Tasmania",388,72.6,79.8571428571429,14.9428571428571
"1141","Measles",2019-04-30,"Tasmania",1,0.2,80,14.9714285714286
"1142","Pertussis",2019-04-30,"Tasmania",45,8.4,64.5714285714286,12.0857142857143
"1143","Pneumococcal disease (invasive)",2019-04-30,"Tasmania",3,0.6,68,12.7285714285714
"1144","Rotavirus",2019-04-30,"Tasmania",2,0.4,14.4285714285714,2.7
"1145","Varicella zoster (chickenpox)",2019-04-30,"Tasmania",6,1.1,14.7142857142857,2.75714285714286
"1146","Varicella zoster (shingles)",2019-04-30,"Tasmania",31,5.8,8.42857142857143,1.58571428571429
"1147","Varicella zoster (unspecified)",2019-04-30,"Tasmania",13,2.4,8.28571428571429,1.55714285714286
"1148","Dengue virus infection",2019-04-30,"Tasmania",3,0.6,9.28571428571429,1.74285714285714
"1149","Malaria",2019-04-30,"Tasmania",1,0.2,8.57142857142857,1.61428571428572
"1150","Ross River virus infection",2019-04-30,"Tasmania",2,0.4,6.57142857142857,1.24285714285714
"1151","Hepatitis B (unspecified)",2019-04-30,"Victoria",151,2.3,224.571428571429,3.41428571428571
"1152","Hepatitis C (unspecified)",2019-04-30,"Victoria",156,2.4,171.428571428571,2.61428571428571
"1153","Campylobacteriosis",2019-04-30,"Victoria",475,7.2,179.857142857143,2.74285714285714
"1154","Cryptosporidiosis",2019-04-30,"Victoria",81,1.2,184.428571428571,2.8
"1155","Salmonellosis",2019-04-30,"Victoria",302,4.6,461.428571428571,7
"1156","Shigellosis",2019-04-30,"Victoria",84,1.3,536.857142857143,8.14285714285714
"1157","Tuberculosis",2019-04-30,"Victoria",42,0.6,488.428571428571,7.41428571428571
"1158","Chlamydial infection",2019-04-30,"Victoria",2090,31.7,489.714285714286,7.44285714285714
"1159","Gonococcal infection",2019-04-30,"Victoria",684,10.4,1046.42857142857,15.8857142857143
"1160","Syphilis < 2 years",2019-04-30,"Victoria",136,2.1,1052.71428571429,15.9714285714286
"1161","Syphilis > 2 years or unspecified duration",2019-04-30,"Victoria",90,1.4,1053.14285714286,15.9857142857143
"1162","Influenza (laboratory confirmed)",2019-04-30,"Victoria",4199,63.7,757.571428571429,11.5
"1163","Pertussis",2019-04-30,"Victoria",128,1.9,676.857142857143,10.2714285714286
"1164","Pneumococcal disease (invasive)",2019-04-30,"Victoria",45,0.7,690.285714285714,10.4714285714286
"1165","Rotavirus",2019-04-30,"Victoria",21,0.3,773.714285714286,11.7285714285714
